0,1,2,3,4,5,6,7,8,9,10
chile,Antofagasta,"Antofagasta, Antofagasta",401096.0,30718.0,18.0,81.0,22283.11111,4951.802469,379.2345679,BOSQUE
chile,Antofagasta,"Calama, Antofagasta",166334.0,15597.0,7.0,23.0,23762.0,7231.913043,678.1304348,SEMIBOSQUE
chile,Antofagasta,"María Elena, Antofagasta",4834.0,12197.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Antofagasta,"Mejillones, Antofagasta",14084.0,3804.0,2.0,4.0,7042.0,3521.0,951.0,SEMIBOSQUE
chile,Antofagasta,"Ollagüe, Antofagasta",256.0,2964.0,1.0,1.0,256.0,256.0,2964.0,DESIERTO
chile,Antofagasta,"San Pedro de Atacama, Antofagasta",9843.0,23439.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Antofagasta,"Sierra Gorda, Antofagasta",1472.0,12886.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Antofagasta,"Taltal, Antofagasta",12097.0,20405.0,2.0,4.0,6048.5,3024.25,5101.25,SEMIDESIERTO
chile,Antofagasta,"Tocopilla, Antofagasta",25400.0,4039.0,1.0,2.0,25400.0,12700.0,2019.5,DESIERTO
chile,Araucanía,"Angol, Araucanía",53022.0,1194.0,8.0,20.0,6627.75,2651.1,59.7,BOSQUE
chile,Araucanía,"Carahue, Araucanía",24957.0,1341.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Cholchol, Araucanía",13167.0,428.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Collipulli, Araucanía",24303.0,1296.0,3.0,3.0,8101.0,8101.0,432.0,SEMIBOSQUE
chile,Araucanía,"Cunco, Araucanía",19177.0,1907.0,1.0,1.0,19177.0,19177.0,1907.0,SEMIDESIERTO
chile,Araucanía,"Curacautín, Araucanía",18536.0,1664.0,2.0,2.0,9268.0,9268.0,832.0,SEMIDESIERTO
chile,Araucanía,"Curarrehue, Araucanía",7733.0,1171.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Ercilla, Araucanía",7730.0,500.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Freire, Araucanía",26164.0,935.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Galvarino, Araucanía",12710.0,568.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Gorbea, Araucanía",14148.0,695.0,1.0,1.0,14148.0,14148.0,695.0,SEMIDESIERTO
chile,Araucanía,"Lautaro, Araucanía",41936.0,901.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Loncoche, Araucanía",25158.0,977.0,1.0,1.0,25158.0,25158.0,977.0,SEMIDESIERTO
chile,Araucanía,"Lonquimay, Araucanía",10247.0,3914.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Los Sauces, Araucanía",7348.0,850.0,1.0,1.0,7348.0,7348.0,850.0,SEMIDESIERTO
chile,Araucanía,"Lumaco, Araucanía",9253.0,1119.0,2.0,5.0,4626.5,1850.6,223.8,SEMIDESIERTO
chile,Araucanía,"Melipeuco, Araucanía",6796.0,1107.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Nueva Imperial, Araucanía",33988.0,733.0,3.0,3.0,11329.33333,11329.33333,244.3333333,SEMIBOSQUE
chile,Araucanía,"Padre Las Casas, Araucanía",80656.0,401.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Perquenco, Araucanía",7438.0,331.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Pitrufquén, Araucanía",27041.0,581.0,2.0,3.0,13520.5,9013.666667,193.6666667,SEMIDESIERTO
chile,Araucanía,"Pucón, Araucanía",32321.0,1249.0,2.0,5.0,16160.5,6464.2,249.8,SEMIDESIERTO
chile,Araucanía,"Puerto Saavedra, Araucanía",12184.0,401.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Purén, Araucanía",10686.0,465.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Renaico, Araucanía",12877.0,267.0,1.0,2.0,12877.0,6438.5,133.5,DESIERTO
chile,Araucanía,"Temuco, Araucanía",292518.0,464.0,20.0,71.0,14625.9,4119.971831,6.535211268,BOSQUE
chile,Araucanía,"Teodoro Schmidt, Araucanía",15639.0,650.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Toltén, Araucanía",10041.0,860.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Traiguén, Araucanía",18873.0,908.0,2.0,7.0,9436.5,2696.142857,129.7142857,SEMIBOSQUE
chile,Araucanía,"Victoria, Araucanía",34464.0,1256.0,5.0,10.0,6892.8,3446.4,125.6,SEMIBOSQUE
chile,Araucanía,"Vilcún, Araucanía",31575.0,1421.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Araucanía,"Villarrica, Araucanía",67737.0,1291.0,1.0,5.0,67737.0,13547.4,258.2,SEMIDESIERTO
chile,Arica y Parinacota,"Arica, Arica y Parinacota",241653.0,4799.0,12.0,30.0,20137.75,8055.1,159.9666667,SEMIBOSQUE
chile,Arica y Parinacota,"Camarones, Arica y Parinacota",861.0,3927.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
